"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status"
"Heterodontidae Heterodontus portusjacksoni.distance.to.ramp+log.roughness+status","distance.to.ramp+log.roughness+status","s(distance.to.ramp, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + status + planned.or.exploratory",332.395325241785,358.455767577077,0.00693,NA,11.04,2,0,1.561,0.316,0.131,0,0,0,0,0,1,0,0,1,0,0,1
"Heterodontidae Heterodontus portusjacksoni.distance.to.ramp+log.roughness","distance.to.ramp+log.roughness","s(distance.to.ramp, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + planned.or.exploratory",334.019310266738,356.894607536216,0.01452,NA,10.01,3,1.624,0,0.141,0.286,0,0,0,0,0,1,0,0,1,0,0,0
"Heterodontidae Heterodontus portusjacksoni.depth+log.roughness","depth+log.roughness","s(depth, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + planned.or.exploratory",334.048368886038,356.923666155515,0.12851,NA,10.27,4,1.653,0.029,0.138,0.282,0,0,0,0,0,0,0,0,1,0,1,0
"Labridae Coris auricularis","distance.to.ramp.by.status+log.sponges.by.status+status","s(distance.to.ramp, by = status, k = 5, bs = ""cr"") + s(log.sponges, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",1836.40788711185,1874.98942113528,1e-05,NA,19.11,3,0,0,0.998,0.998,0,0,1,0,0,1,0,0,0,0,0,1
"Monacanthidae Nelusetta ayraud.depth.by.status+log.roughness+status","depth.by.status+log.roughness+status","s(log.roughness, k = 5, bs = ""cr"") + s(depth, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",545.065122312512,577.430669981496,0.67083,NA,15,4,0,12.083,0.248,0.002,0,0,0,0,0,0,0,0,1,0,1,1
"Monacanthidae Nelusetta ayraud.depth.by.status+sd.relief+status","depth.by.status+sd.relief+status","s(sd.relief, k = 5, bs = ""cr"") + s(depth, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",546.737911277401,579.103458946385,0.59585,NA,15.05,3,1.673,13.755,0.107,0.001,0,1,0,0,0,0,0,0,0,0,1,1
"Sparidae Chrysophrys auratus.log.slope.by.status+mean.relief+status","log.slope.by.status+mean.relief+status","s(mean.relief, k = 5, bs = ""cr"") + s(log.slope, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",549.4959367766,581.861484445584,0.05605,NA,15.09,4,0,6.337,0.416,0.034,1,0,0,0,0,0,0,0,0,1,0,1
"Sparidae Chrysophrys auratus.log.slope.by.status+mean.relief.by.status+status","log.slope.by.status+mean.relief.by.status+status","s(log.slope, by = status, k = 5, bs = ""cr"") + s(mean.relief, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",550.302759558757,588.884293582189,0.04933,NA,19.03,4,0.807,13.36,0.278,0.001,1,0,0,0,0,0,0,0,0,1,0,1
"total.abundance","log.tpi.by.status+mean.relief.by.status+status","s(log.tpi, by = status, k = 5, bs = ""cr"") + s(mean.relief, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",3203.56979038409,3242.15132440752,1e-05,NA,19.29,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
"species.richness.mean.relief","mean.relief","s(mean.relief, k = 5, bs = ""cr"") + planned.or.exploratory",1081.99570478475,1098.43712479128,0.51711,NA,6,3,0,0,0.206,0.862,1,0,0,0,0,0,0,0,0,0,0,0
"species.richness.mean.relief+sd.relief","mean.relief+sd.relief","s(mean.relief, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + planned.or.exploratory",1083.49241856193,1106.3677158314,0.52407,NA,10,5,1.497,7.931,0.097,0.016,1,1,0,0,0,0,0,0,0,0,0,0
"species.richness.log.slope+mean.relief","log.slope+mean.relief","s(log.slope, k = 5, bs = ""cr"") + s(mean.relief, k = 5, bs = ""cr"") + planned.or.exploratory",1083.61475950814,1106.49005677762,0.53013,NA,10,5,1.619,8.053,0.092,0.015,1,0,0,0,0,0,0,0,0,1,0,0
